,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-2.9287E+17,Strategyzer | Business Model Generation - Book,"Simple rolls out shared bank accounts that work for anyone, including roommates",Jeff Seguros: SEGUROS E GAMES,Google Now on Tap estreia no Brasil | Google Discovery,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
-2.77169E+17,Introducing Sign in with Slack - Slack Platform Blog,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",8 things to expect from Google's biggest event of the year,Build Zappos like faceted navigation with ElasticSearch,Twitter adds a button to help you train its algorithm,How This Googler Redesigned The Workweek
-2.71939E+17,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Where accountability really matters,Here's How L'Oréal Plans To Continue Its Digital Innovation,Home-Made Twitter and Gmail Notifications with PHP and Arduino
-2.66263E+17,A plan for media management in Drupal 8,The door for new contributors to Drupal is still locked,The investment case for employing a Drupal core contributor - Dries Buytaert,Drupal 8.1.0 is now available,Hedron: Or my dissatisfaction with local development #Drupal,Acquia Engage 2016: Day One
-2.40359E+17,Comparing React.js to Vue.js for dynamic tabular data,Quick Tip: Working with the JavaScript Battery API,"A whole new GitHub Universe: announcing new tools, forums, and features",Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Say Hello to React CDK - KADIRA VOICE
-2.29081E+17,Building AI Is Hard-So Facebook Is Building AI That Builds AI,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",The next AI is no AI,10 Simple Habits of Insanely Productive People,World's Fastest Growing Open Source Platform Pushes Out New Release,You're Asking Too Much of Chat Bots. Just Let Them Grow Up
-2.05194E+17,Is FinTech Forcing Banking to a Tipping Point?,Digital Leadership Is Not an Optional Part of Being a CEO,The sales secrets of high-growth companies,IBM makes a big shift into cognitive computing,Accenture and Adboe team on customer enegagement,Two Different Sales Motions . . . .
-1.70688E+17,As compras e os hábitos dos brasileiros no shopping | EXAME.com,SpotHero is ready for the future of autonomous parking,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Three Lessons for Design-Driven Success,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Portal Abrasce - Conhecendo o frequentador de shopping center
-1.58185E+17,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Making open source data more available,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",TechCrunch launches a personalized news recommendations bot on Facebook Messenger,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",When will AI and NLP actually turn Siri into your best friend?
-1.45626E+17,Omnitone: Spatial audio on the web,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Deep Learning Demystified,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste"
-1.33139E+17,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",To bot or not to bot,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",The gig economy as a driver of innovation,The Real Product Market Fit,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
-9.67197E+16,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,O dia em que tive mais medo de estar errada.,Jury finds Google's implementation of Java in Android was fair use,Google's cloud platform is now a force to be reckoned with,As expectativas das mulheres da Geração Y são muitas
-9.27879E+16,Analyst: Google's cloud business could cause the stock to soar to over $900,This year's Founders' Letter,Twitter adds a button to help you train its algorithm,Behold.ai launches artificially intelligent medical software to find abnormalities faster,8 things to expect from Google's biggest event of the year,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar
-9.1139E+16,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Here's how Evernote moved 3 petabytes of data to Google's cloud,Google's fair use victory is good for open source,Build Quality In: The Key to Continuous Delivery in Kanban,Labelling automated builds on Docker Hub - Microscaling Systems
-8.99552E+16,Infrequently Noted,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Chrome extension brings Medium's best feature to the whole Web,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,2.3.0 Release Notes
-8.8304E+16,Refactoring to Patterns em Java 8,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Learn Microservices in Java - DZone - Refcardz,Criando ícones animados no Android,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide
-7.86679E+16,Build Quality In: The Key to Continuous Delivery in Kanban,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Google's fair use victory is good for open source,Hedron: Or my dissatisfaction with local development #Drupal,Here's how Evernote moved 3 petabytes of data to Google's cloud,Labelling automated builds on Docker Hub - Microscaling Systems
-7.8067E+16,Microservices testing,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Reactive log stream processing with RxJava - Part I,Migrating to the New Java 8 Date Time API | Baeldung,Building Spring Cloud Microservices That Strangle Legacy Systems,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
-7.28441E+16,"Reestruturada, Dasa vai abrir 50 pontos e negocia aquisições",Tecnologia transforma gestão na área de saúde | EXAME.com,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,O que você deve fazer para se tornar um líder melhor?
-5.74525E+16,U.S. Track Cycling Team Training for Rio Olympics with Smart Sunglasses,Características de Arquiteturas Evolutivas,Big data's 'streetlight effect': where and how we look affects what we see,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Creating a scalable API with microservices,"Docker - Build, Ship, and Run Any App, Anywhere"
-4.21263E+16,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,Tetra Pak Cheese and Powder Systems acquires Laude,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor
-3.94858E+16,Google Now on Tap estreia no Brasil | Google Discovery,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",YouTube's New Messenger Means You'll Never Have to Leave YouTube,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery","Google Duo, aplicativo de chamadas em vídeo | Google Discovery",Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery
-3.68447E+16,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Exploring Java's Hidden Costs,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,The Future of Pen: Windows Ink,Visual C++ for Linux Development,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
-3.37403E+16,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,The Progress of Web Apps - On the Edge,React Native v0.32.0-rc.0 released,How I sped up the initial render of my Polymer app by 86%
-2.1036E+16,The sales secrets of high-growth companies,Meet the new Brazilian consumer,Is FinTech Forcing Banking to a Tipping Point?,Two Different Sales Motions . . . .,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Digital Leadership Is Not an Optional Part of Being a CEO
-1.45693E+16,Java 8 Streams - A Deeper Approach About Performance Improvement,LPIC-OT DevOps Engineer | Linux Professional Institute,Salesforce adds some artificial intelligence to customer service products,Top Programming Languages Trends: The Rise of Big Data,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Assessing Salesforce's platform and ecosystem | ZDNet
-7.52788E+15,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,PICNIC,Mulheres são mais criativas que homens?,Meninos com Down abrem a própria empresa de pizzas e fazem o maior sucesso em eventos,Google HR chief Laszlo Bock leaving to launch startup,O que é liderança? Liderança é fazer a diversidade funcionar.
-6.45752E+15,Agronegócio mantém crescimento com tecnologia - inova.jor,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,Tetra Pak Cheese and Powder Systems acquires Laude,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões
-5.925E+15,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","5 awesome Google Keep features you aren't using, but should be",Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm
-2.87129E+15,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Don't Waste Your Time on Networking Events,Globant acquires WAE to continue advancing in the creation of digital journeys,Nubank pode fechar as portas se BC confirmar mudança amanhã,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com","Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
-1.52369E+15,Measuring email effectiveness in retail banking,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot
-1.03801E+15,Para entender o Dia Internacional contra a Homofobia,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,The Genderbread Person v3 | It's Pronounced Metrosexual,Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
1.0247E+16,[Tools] 12 Apps for Live-streaming Video,Presenting to the Boss(es) | Pluralsight,Onde está o duplo diamante do DT em projetos ágeis,One Dollar Board: Um projeto brasileiro para revolucionar a educação,[PayPal] Postos Shell adotam pagamento no smartphone,4 lessons we can learn from Denmark about happiness at work
1.87389E+16,"Bot do Facebook Messenger simula entrevista para o processo de ""3%""",O RH chega ao board,Terms Aggregation in Elastic Search,The Competitive Landscape for Machine Intelligence,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Hiri wants to fix the workplace email problem
1.8931E+16,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,"Big data, big differentiators: this week on Google Cloud Platform",Cross-channel user experiences with Drupal (awesome video demo!),Introducing Google Container Engine (GKE) node pools,20+ Docs and Guides for Front-end Developers (No. 9),Designer Creates 13 Perfect Circles to Draw Almost Any Animal
3.04611E+16,Kubernetes 1.3 on tap for Google Container Engine,How Do Top Android Developers QA Test Their Apps?,Production Ready Jenkins 2.0 in Two Steps with Docker,The Joel Test: 12 Steps to Better Code,JavaServer Faces 2.3 Quick Reference - DZone Java,Python Is Not Java (dirtSimple.org)
3.13491E+16,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Million Song Dataset | scaling MIR research,Elastic Stack 5.0.0 Released,The new 64-bit Orange Pi is a quad-core computer for $20,"New functional programming language can generate C, Python code for apps"
3.95542E+16,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Críticas de design: dizendo as coisas que precisam ser ditas,#FinTech is all about human-centred design - Chris Skinner's blog,O tênue equilíbrio da equipe que desenha produtos digitais,35 Innovative and Inspirational Website Designs in Banking,How Mature is Your Organization when it Comes to UX?
5.42118E+16,Self-Learning AI: This New Neuro-Inspired Computer Trains Itself,The Competitive Landscape for Machine Intelligence,Deep Learning AI for NASA Powers Earth Robots,The Competitive Landscape for Machine Intelligence,"Meet Articoolo, the robot writer with content for brains",Google's Cloud Machine Learning service is now in public beta
6.50533E+16,Aggregations,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Build Zappos like faceted navigation with ElasticSearch,This CEO Runs a Billion-Dollar Company With No Offices or Email,5 reasons your employees aren't sharing their knowledge,Behind Facebook Messenger's plan to be an app platform
8.04357E+16,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",'Robô-rancheiro' conseguirá cuidar sozinho de fazendas de gado,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Will blockchain drive the fourth Industrial Revolution?,Bayer anuncia compra da Monsanto por US$ 66 bilhões,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online"
9.03835E+16,Building Spring Cloud Microservices That Strangle Legacy Systems,Migrating to the New Java 8 Date Time API | Baeldung,Combining Spring Boot and JDBI,Taking Microservices Home - NGINX,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways","Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
9.12415E+16,Nova versão do SAP Hybris Commerce vai ser apresentada durante o Forum E-Commerce Brasil 2016 - B!T magazine,A ESTRATÉGIA DA C&A PARA VENCER A CRISE - brweek,18 frases que as mulheres precisam parar de falar umas para as outras - UOL Estilo de vida,Unilever cria e-commerce para lojas de bairro | EXAME.com,Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Facebook libera botão que integra rede social a sites de e-commerce
1.19886E+17,Tutorial: How to build a GraphQL server - Building Apollo,Bots won't replace apps. Better apps will replace apps.,O manual do deboísta corporativo,Terms Aggregation in Elastic Search,O RH chega ao board,Eclipse Foundation Releases Neon
1.23379E+17,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Savage Love Letter of the Day: Get Out There and Fight,Write Like You Talk,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Falling for Web Components,The Language of Beauty Ads
1.27799E+17,Apple Releases First Preview of Swift 3.0 for Developers,How Green Was My Valley (1941),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",How We Lost 47% of Our Users After a Redesign | Icons8,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
1.39485E+17,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Top Programming Languages Trends: The Rise of Big Data,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Gartner Reprint,Java 8 Streams - A Deeper Approach About Performance Improvement,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices"
1.41807E+17,Why a ceramic iPhone 8 might be be the ultimate iPhone | Cult of Mac,"Apple unveils the new iPhone 7, preorder now, available 9/16",Inside The iPhone 7: Why Apple Killed The Headphone Jack,Sesi oferece curso de LIBRAS com certificação de 40 horas,Assista a entrevista de Linus Torvalds no TED legendada,How Green Was My Valley (1941)
1.5689E+17,Multi-Channel Marketing in 2015 - It's not rocket science.,AEM 6.1 Package Manager Metadata Files,Workspace Filter,Configuring OSGi,How to Install and Use the Linux Bash Shell on Windows 10,Adobe CQ/Adobe AEM
1.61784E+17,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,Banks find blockchain hard to put into practice - FT.com,"XP lançará robô que seleciona melhores investimentos para clientes, diz CEO",Samsung se alia a bancos para lançar pagamento por celular no Brasil
1.74708E+17,Bringing Pokémon GO to life on Google Cloud,8 Best Machine Learning Cheat Sheets,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,A Beginner's Guide To Understanding Convolutional Neural Networks,Meet Aquifer: A build system for easier Drupal development
1.90366E+17,Demolition (2015),"Facebook ditches Bing, 800M users now see its own AI text translations",America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Walmart compra startup para brigar com Amazon | EXAME.com,Five things to include in your digital transformation playbook
2.01516E+17,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,Finding The Meaning Of Artificial Intelligence At Google I/O,The AI business landscape,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Clarifying the uses of artificial intelligence in the enterprise,TechCrunch launches a personalized news recommendations bot on Facebook Messenger
2.1687E+17,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Physicists have discovered what makes neural networks so extraordinarily powerful,Five priorities for competing in an era of digital globalization,Extreme Style Machines:Using Random Neural Networks to Generate Textures,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
2.23317E+17,How to move an entire government to a new digital platform - Dries Buytaert,Dries Buytaert,Announcing pricing for Google Stackdriver,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Hacked Website Report - 2016/Q3,Dries Buytaert
2.30807E+17,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Quick Tip: Working with the JavaScript Battery API,"A whole new GitHub Universe: announcing new tools, forums, and features",Say Hello to React CDK - KADIRA VOICE,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Comparing React.js to Vue.js for dynamic tabular data
2.31282E+17,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Artificial Intelligence Software Is Booming. But Why Now?,Burger King aceita pedidos via mensagens no Facebook - Startupi
2.79771E+17,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Worldwide Ops in Minutes with DataStax & Cloud,Apple Acquires Machine Learning Company Turi For $200 Million,Algorithms and architecture for job recommendations,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool
2.88653E+17,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more","Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Google moves to replace Flash with HTML5,"Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot",New ways to keep data flowing between your apps and ours,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click
3.00938E+17,Mimo baby monitor helps parents get more sleep,Introducing the Open Images Dataset,Lists are the new search,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Eclipse Foundation Releases Neon,Kubernetes
3.10515E+17,71 erros de português que precisam sumir dos seus e-mails,Apple is working on an AI system that wipes the floor with Google and everyone else,Ordering coffee in Italy: the 10 commandments,"Twitter killed Magic Recs, the only useful bot there is",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
3.1934E+17,"contentId
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
Name: title, dtype: object",How Green Was My Valley (1941),"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,How We Lost 47% of Our Users After a Redesign | Icons8,Apple Releases First Preview of Swift 3.0 for Developers
3.21193E+17,Quando a ignorância vence a solidariedade,Sul dos EUA descobre consequências econômicas da homofobia | EXAME.com,Incendies (2010),Resenha - A Chegada,Creating Compound Views on Android,The real reasons you procrastinate - and how to stop
3.3591E+17,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery","Inbox by Gmail: a better way to keep track of events, newsletters and links",Google's Cloud Machine Learning service is now in public beta,Generative Models,Stay focused with Google Calendar event notifications in your browser,YouTube's New Messenger Means You'll Never Have to Leave YouTube
3.48633E+17,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,How Coca-Cola Is Harvesting Innovation Energy From Startups,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Google lança novos recursos para o Analytics,[GTD] Forget About Setting Goals. Focus on This Instead.
3.5745E+17,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Adulterated Objective-C,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Nashorn: JavaScript made great in Java 8,Alecrim/AlecrimCoreData,LukeW | Obvious Always Wins
3.58192E+17,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Client-side ranking to more efficiently show people stories in feed,A identidade visual de Budapeste para as Olimpíadas de 2024,Google HR chief Laszlo Bock leaving to launch startup,The Internet of Things is looking for its VisiCalc,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays"
3.63798E+17,To Be Continued: Helping you find shows you want to continue watching,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Worldwide Ops in Minutes with DataStax & Cloud,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,TPOT: A Python tool for automating data science,Apple Acquires Machine Learning Company Turi For $200 Million
3.72531E+17,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere","DevOps security requires new mindset and tools for visibility, automation",The Continuous Delivery Maturity Model,Monitoramento em tempo real com Elasticsearch e Kibana
3.74352E+17,O tênue equilíbrio da equipe que desenha produtos digitais,How Mature is Your Organization when it Comes to UX?,Campus São Paulo: conheça a primeira turma do Programa de Residentes,35 Innovative and Inspirational Website Designs in Banking,Accenture amplia atuação no Brasil,Accenture Launches Content Studio
3.74675E+17,Taking Microservices Home - NGINX,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Migrating to the New Java 8 Date Time API | Baeldung,Spring Boot 1.4 released,What Happens When No One and Everyone Owns a Product? - Built to Adapt,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications"
3.78386E+17,5 Podcasts : Aprenda mais sobre gestão e liderança,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Séries com lições sobre empreendedorismo: As 7 melhores!,TI Bimodal? Receita para o desastre...,Gartner Hype Cycle for Digital Marketing and Advertising,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
3.79774E+17,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",8 things to expect from Google's biggest event of the year,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Revolutionize business communication with Kast,Twitter adds a button to help you train its algorithm
3.85213E+17,Don Tapscott: How the blockchain is changing money and business,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Mary Meeker's essential 2016 Internet Trends Report,Introducing New Relic Infrastructure,Decentralizing IoT networks through blockchain,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog
4.00125E+17,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,As expectativas das mulheres da Geração Y são muitas,Workplace diversity in Brazil: there's still a long way to go,"Little girls doubt that women can be brilliant, study shows",Neural networks are inadvertently learning our language's hidden gender biases
4.08284E+17,This New Banking AI Is the Here and Now of Chatbots,7 Tips to Create a Company Learning Culture like Google - Without Resources,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Hiri wants to fix the workplace email problem,"Handling context in ""outside-in""",3Dprintler lets you order a 3D print via chatbot
4.08569E+17,These gloves can convert sign language into spoken English,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,The AI business landscape,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
4.28487E+17,Most Interesting APIs in 2016: Cognitive Computing,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
4.30255E+17,Google researchers teach AIs to see the important parts of images - and tell you about them,Machine learning at the museum: this week on Google Cloud Platform,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",From Insight-as-a-Service to insightful applications,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,Making Sense of Unstructured Data with Google Cloud NL API
4.44378E+17,How to choose algorithms for Microsoft Azure Machine Learning,"Need Some AI? Yeah, There's a Marketplace for That",Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Automation and anxiety,The Internet of Things is looking for its VisiCalc
4.59009E+17,Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem,Empresa desenvolve primeira variedade de cana geneticamente modificada,Brazilian Government and Ericsson to innovate together for Internet of Things,"Ciesp-Campinas e Lean Institute Brasil fazem evento gratuito sobre ""lean para superar a crise"" em Campinas",Hackathon - Portal Embrapa,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor
4.64602E+17,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Incendies (2010),Resenha - A Chegada,Creating Compound Views on Android,Facebook at Work pushed to 'later this year',"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery"
4.90726E+17,Passada longa ou curta?,LIBERAÇÃO MIOFASCIAL - O QUE É E COMO FAZER,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,A minha viagem à Maternidade #tetodomundo,Dicionário Priberam da Língua Portuguesa,Confirmed: Walmart buys Jet.com for $3B in cash
4.91374E+17,Teaching machines to predict the future,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,The AI business landscape,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters"
5.05091E+17,Google and Ray Kurzweil are making chatbots together,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,Behold.ai launches artificially intelligent medical software to find abnormalities faster,Teaching machines to predict the future
5.11892E+17,Why porting an iOS design to Android will not work,Apple is working on an AI system that wipes the floor with Google and everyone else,Ordering coffee in Italy: the 10 commandments,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How to Design a Walkthrough That Users Will Read,"Twitter killed Magic Recs, the only useful bot there is"
5.15531E+17,Leaf - Machine Learning for Hackers,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Veja como funciona o assistente da Adobe que faz edições com comandos de voz
